route_name,route_link,bus_name,bus_type,departure_time,duration,arrival_time,price,star_rating,seats_availability
"Delhi to Farrukhabad (Uttar Pradesh)
From INR 479",https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up,Chaturvedi Bus Service,NON A/C Seater/ Sleeper (2+1),19:30,11h 00m,06:30,520,2.0,51 Seats available
"Delhi to Farrukhabad (Uttar Pradesh)
From INR 479",https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up,Shree Krishna Shtabadi Travels,NON AC Seater / Sleeper 2+1,21:00,09h 00m,06:00,600,1.4,44 Seats available
"Delhi to Farrukhabad (Uttar Pradesh)
From INR 479",https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up,Yuvraj Travels,NON AC Seater / Sleeper 2+1,22:00,08h 00m,06:00,450,N/A,40 Seats available
"Delhi to Farrukhabad (Uttar Pradesh)
From INR 479",https://www.redbus.in/bus-tickets/delhi-to-farrukhabad-up,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40 Seats available
"Moradabad to Delhi
From INR 261",https://www.redbus.in/bus-tickets/moradabad-to-delhi,India Tours & Travels (GetBookCab),A/C Seater / Sleeper (2+2),18:15,03h 30m,21:45,474,4.1,25 Seats available
"Moradabad to Delhi
From INR 261",https://www.redbus.in/bus-tickets/moradabad-to-delhi,Vijay Tour and Travels,A/C Seater / Sleeper (2+1),19:10,04h 10m,23:20,600,3.6,28 Seats available
"Moradabad to Delhi
From INR 261",https://www.redbus.in/bus-tickets/moradabad-to-delhi,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),21:30,03h 40m,01:10,647,3.3,23 Seats available
"Moradabad to Delhi
From INR 261",https://www.redbus.in/bus-tickets/moradabad-to-delhi,Rinku Travels,A/C Seater / Sleeper (2+1),21:45,04h 45m,02:30,500,3.1,29 Seats available
"Moradabad to Delhi
From INR 261",https://www.redbus.in/bus-tickets/moradabad-to-delhi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28 Seats available
"Delhi to Haridwar
From INR 357",https://www.redbus.in/bus-tickets/delhi-to-haridwar,City Land Travels,A/C Sleeper (2+1),11:20,07h 09m,18:29,488,3.7,12 Seats available
"Delhi to Haridwar
From INR 357",https://www.redbus.in/bus-tickets/delhi-to-haridwar,City Land Travels,Volvo A/C Semi Sleeper (2+2),14:30,07h 59m,22:29,799,3.7,32 Seats available
"Delhi to Haridwar
From INR 357",https://www.redbus.in/bus-tickets/delhi-to-haridwar,City Land Travels,A/C Sleeper (2+1),15:15,07h 59m,23:14,763,3.7,28 Seats available
"Delhi to Haridwar
From INR 357",https://www.redbus.in/bus-tickets/delhi-to-haridwar,AdTSB Tour express,AC Seater (2+2),22:45,05h 20m,04:05,999,3.5,33 Seats available
"Delhi to Haridwar
From INR 357",https://www.redbus.in/bus-tickets/delhi-to-haridwar,City Land Travels,A/C Sleeper (2+1),17:00,07h 59m,00:59,763,3.7,32 Seats available
"Delhi to Sitapur (Uttar Pradesh)
From INR 650",https://www.redbus.in/bus-tickets/delhi-to-sitapur,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Sleeper (2+1),22:15,08h 15m,06:30,799,4.2,31 Seats available
"Bareilly to Agra
From INR 323",https://www.redbus.in/bus-tickets/bareilly-to-agra,UPSRTC - BLY0133,Janrath AC Seater 2+2,14:32,05h 28m,20:00,486,3.4,32 Seats available
"Bareilly to Agra
From INR 323",https://www.redbus.in/bus-tickets/bareilly-to-agra,UPSRTC - AGF0050,Shatabdi AC Seater 2+2,22:46,05h 59m,04:45,486,3.0,41 Seats available
"Agra to Lucknow
From INR 378",https://www.redbus.in/bus-tickets/agra-to-lucknow,RSRTC - 192993,A/C Seater / Sleeper (2+1),23:30,04h 50m,04:20,891,2.8,36 Seats available
"Agra to Lucknow
From INR 378",https://www.redbus.in/bus-tickets/agra-to-lucknow,Raj Kalpana Travels Pvt.ltd.,VE A/C Seater (2+2),15:30,04h 30m,20:00,499,4.3,38 Seats available
"Agra to Lucknow
From INR 378",https://www.redbus.in/bus-tickets/agra-to-lucknow,BT Travels,A/C Seater / Sleeper (2+1),15:20,03h 50m,19:10,549,4.6,29 Seats available
"Agra to Lucknow
From INR 378",https://www.redbus.in/bus-tickets/agra-to-lucknow,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28 Seats available
"Agra to Lucknow
From INR 378",https://www.redbus.in/bus-tickets/agra-to-lucknow,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2 Seats available
"Kanpur (Uttar Pradesh) to Jhansi
From INR 381",https://www.redbus.in/bus-tickets/kanpur-to-jhansi,Raj Kalpana Travels Pvt.Ltd,A/C Sleeper (2+1),18:15,05h 15m,23:30,1036,4.2,5 Seats available
"Kanpur (Uttar Pradesh) to Jhansi
From INR 381",https://www.redbus.in/bus-tickets/kanpur-to-jhansi,SAFAR EXPRESS PVT LTD,A/C Seater / Sleeper (2+1),18:20,05h 15m,23:35,1140,3.8,40 Seats available
"Kanpur (Uttar Pradesh) to Jhansi
From INR 381",https://www.redbus.in/bus-tickets/kanpur-to-jhansi,Hans Travels (I) Private Limited,NON A/C Sleeper (2+1),18:30,05h 00m,23:30,1000,3.2,24 Seats available
"Kanpur (Uttar Pradesh) to Jhansi
From INR 381",https://www.redbus.in/bus-tickets/kanpur-to-jhansi,Samay Shatabdi Travels Pvt Ltd,NON AC Seater / Sleeper 2+1,18:30,05h 20m,23:50,800,4.1,17 Seats available
"Kanpur (Uttar Pradesh) to Jhansi
From INR 381",https://www.redbus.in/bus-tickets/kanpur-to-jhansi,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30 Seats available
